	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	super_pop
HG01377	-19.035808463604504	22.181906709464094	-16.06994650864645	8.14536598585351	14.524566916015951	1.3056512380996803	0.35918880866479164	-10.125066731126237	10.695307558246842	-0.6991507928466294	CLM	AMR
NA20764	-23.223023773277138	38.892667106762524	-11.409471809599937	-17.63895465349699	8.945289366333684	1.9588028181502357	-7.806632427661555	-4.0788968323746095	-2.5980611845333637	-10.90921506345375	TSI	EUR
HG00321	-30.62783886769516	31.84578675456358	-10.455647488539428	-11.671897402804138	-6.114223888271089	2.429249407476657	-6.629742131365548	8.532958701828893	-8.060284429840848	5.143939991874562	FIN	EUR
HG03998	-25.383802184476146	7.524741785359041	38.06322156886087	8.334174235017324	-14.120838283178777	-1.2717545995225505	-2.199148553564741	1.2589571826402146	-1.9149267462111401	8.317603279209248	STU	SAS
HG03629	-26.07446877271939	15.368809999451637	22.304582623842144	6.238490727762891	-13.08606025613312	-1.191240161800266	5.56888804930577	1.1656492632224373	2.4435292482214432	18.53921805643746	PJL	SAS
NA19189	88.35307812147629	-6.161072549159149	0.3934574825152353	-0.9753083629394917	4.887129271691989	-5.694742371543006	-0.4637512497118439	14.754534420931408	-2.0491637925084376	11.128953856746197	YRI	AFR
HG02860	81.21134021827646	-4.625945815168939	0.6616438534641813	-1.2157772433619742	-1.5604891147779867	16.68138104474335	-4.019628090364388	-9.519428156810395	1.937274838209601	-12.3988601324853	GWD	AFR
HG02878	81.14370162197487	-5.426487180190154	3.7568942580339955	1.0946469824481537	-1.006456415270881	24.279443499579333	-1.00304995442281	-15.009084101924776	-5.5500032869352385	5.284857003783512	GWD	AFR
HG04173	-25.86900818038128	4.610665398126377	30.040426332166632	10.396889618964911	-4.439854766359894	-1.1976681423880973	1.2092875143367086	1.8023964426148773	-0.7658672828397911	-3.6679996179362644	BEB	SAS
NA20885	-29.718874621430142	14.047830748989082	20.081371647117265	3.893840223283149	-3.4095656914319643	-1.9317009589649514	4.409883642468707	0.6387163707684693	-3.0402865574107354	-3.7508770054260374	GIH	SAS
HG00557	-40.13961144800664	-55.13683200786467	-4.7627573644614065	-13.420627525318775	10.458315174888465	-2.6343076398011855	-3.7281117928038046	-3.4731484039879548	5.141532022727411	-2.833539798451475	CHS	EAS
HG04194	-26.918904051220103	8.248880871929684	29.235688358104486	8.342692338376404	6.752927572924925	0.7357142376390025	-1.1896057713389547	-2.7444311541641984	-3.4739196385627507	9.249852848550534	BEB	SAS
NA18505	82.80657377136005	-5.465739525341134	-0.1532489998122947	0.7273864048754151	-9.327856638214536	-0.9258437026571433	3.4391353779910374	11.180095761924724	3.8167546626210207	6.1853012214722405	YRI	AFR
HG00614	-39.434435031294846	-51.064742064640136	-7.974454800510385	-16.29947423498062	8.08602335480492	-0.7398089506832618	-2.439180258277763	0.9179660756546512	-8.476603749853364	-3.3183642630570183	CHS	EAS
NA18612	-37.011642419603184	-53.24309356753769	-6.607496597294148	-5.494201908918226	9.785715766324435	-5.697100311434208	-3.062652727945782	3.856156179983714	12.266894337249381	5.926969684505613	CHB	EAS
HG02685	-27.246960789065486	10.048309892263985	28.664092685010168	6.7064393266680415	8.354432550618034	-1.5512808130692488	2.3116429954714834	2.2410954215648338	0.9304008886218766	6.252664966461109	PJL	SAS
HG01527	-25.44723882162561	40.4990325436392	-7.617859481397762	-14.773824666738042	1.2330105692995543	-5.064423586559025	1.9912640254002414	1.2109106487860435	-7.4679822865858165	-4.18849280236291	IBS	EUR
NA18991	-38.39619960811276	-46.58341743155953	-6.245466631401992	-7.214016590994649	10.341848887060298	2.8182863330443975	-16.252466261451712	3.7377319174720656	-3.931337812160165	4.775005710054294	JPT	EAS
HG02070	-38.427347175397855	-55.74769728652129	-2.086741574265976	-13.893170924191923	-7.503354175512875	5.127570865014682	15.865539075742179	2.2873736676076923	-1.5337063433347777	6.263651534961323	KHV	EAS
HG00188	-28.402841946978143	34.04313649537248	-12.922216169439912	-6.349836801762041	6.403518443069975	-2.6082308839996804	-6.391233193298753	2.819867842498668	-3.3575249195364836	17.008604912710375	FIN	EUR
HG02888	86.10789455562234	-5.705253673749718	-2.717207876973877	-0.7004579049079698	-4.372986701473577	18.470664664114885	-0.7906668668285622	-10.46697308629073	-7.084875033552075	4.697659011904601	GWD	AFR
