sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,pop,super_pop
HG03998,-18.464560681426278,3.7264888878644986,-25.47057143561451,12.169887628019463,-11.14708017941409,-0.009194532675667473,1.4436462242353811,-1.566293811157144,8.381338379574897,1.2008726905148928,1.6457656387023623,6.066770688596022,5.571221568882494,-2.260540490713884,0.10239002230816822,-4.39049918484399,-2.7252037033168937,0.8639939040726113,-2.8467697411313835,2.189414616353886,STU,SAS
HG03629,-20.130196814694354,10.166554054060617,-13.62961530452726,8.122573136947443,-10.600290500809113,-1.5753645335525963,-1.0731707570592148,8.95219847785332,-4.397769682633612,2.266052678555278,-9.50953269202812,-1.0619735614177566,7.409756017185563,0.6473696750769838,11.102801438043178,3.618146407838982,2.7351693319324015,3.8339589812732937,3.561676978323291,5.207578515192635,PJL,SAS
NA18500,60.48847027684256,-4.557130024544293,1.1692210198381638,-0.8646567600891973,8.828808510017113,-5.186816095486374,0.29800380946426447,0.10151524878734065,2.770187181240134,-0.7971448093954159,7.8698790169126145,6.527313780587037,0.35150278364757187,-6.908024576712921,0.3696850974751017,-1.8388940986475668,-1.8137567517788828,0.3440165880808003,-0.4329312969849257,-7.668319189307059,YRI,AFR
NA19189,60.898091675557936,-4.3865807694383685,-0.6539501513337446,-1.1711266332645993,5.3246951828815305,-7.594408340876122,2.6654459679220923,-0.060935939089950625,0.5739913866738612,-10.96286151984669,-2.526068185242235,-3.3674750004152534,5.24160763357444,2.3935860357915293,-0.9891953764406881,-2.0619117642918243,-3.230168242781251,-4.935770913834448,-6.0601587581154615,0.5718040771081178,YRI,AFR
HG02860,57.74872514264981,-2.054282935370708,-0.6580435807909224,-0.3132022726105663,-1.4627662342490548,16.04709993357921,-4.3004759920226325,-2.3937494111718345,3.7033024564802273,1.8273382511584908,-4.873203657137255,-7.448155507556194,11.32276565423252,3.1262481935236752,-0.6538521367208524,-5.745575709320567,5.923785952306795,1.3289636201321464,-2.974833649089735,-4.158034778392665,GWD,AFR
HG02878,57.322376057131805,-3.5975388957180487,-3.2201437305636684,1.2690898684426717,-1.0386548160836901,21.47266504881349,-1.8524805210847464,2.0484301874402,3.795369168428731,-1.488519139597391,5.162916969426783,6.623422233968074,-1.7719798753630374,-5.695943569698918,6.68248707511498,-0.6667838250724345,-0.8144198396898915,1.2584849364229402,-1.638817471094939,1.7301626066573237,GWD,AFR
HG04173,-19.944904783612177,2.722462196285039,-21.370242699719544,12.942067869163411,-3.9584706938076613,-0.9257066909826458,2.0474410384372184,-5.901923144922704,3.9198325168600845,-3.3281289695247978,6.733813708905461,5.234523269027237,-4.8874588696709305,2.8774099449499446,-2.1819693140946534,-1.3528452760980372,-0.6363787462488756,-5.901057613839579,-2.716828859709275,-4.718736393029752,BEB,SAS
NA20885,-23.412697360463095,8.899181866545208,-14.69787085894643,5.786641992206875,-2.799921215789522,-2.551393313943615,2.045871394484173,3.5739968571443272,3.2934941954020522,4.366737379944711,1.1829098635614888,-0.31068391210815843,1.3344244841862791,3.3446215956577383,-6.533473122037329,3.5164680498877616,-3.745828973606988,3.8613671581642275,8.734163768358025,4.116233115110089,GIH,SAS
HG00557,-28.779300669189276,-41.91678164735957,0.6227331977479796,-11.10378144143896,7.267258613082024,0.8850748254404844,-4.438467402254719,-4.500123145323949,2.4176766608840152,2.5691487601028498,-3.3845180124036056,-2.555690036306318,2.2691197379838375,0.6654619939265295,-2.789174236308975,-0.35621316681861237,-3.3281482477990805,6.538778468049583,1.3021153258860014,2.243163055335518,CHS,EAS
HG04194,-21.169900554673866,5.357349775334827,-20.27391937969218,10.52091336831611,4.418969352266575,1.4968324274011398,-0.4151404839275909,2.442565831012947,-2.5507363399905514,0.6371560044130324,-5.645818848565093,6.55817208957528,1.989986028304572,3.871230211341289,-3.0650346842293636,-4.837258377755567,-0.14568867183370982,0.5529602590946623,-5.0243762351565975,2.5935466774971716,BEB,SAS
NA18505,57.436022285481755,-3.5170860458848967,-0.1852447907661717,0.881808715722626,-5.925502496221833,-6.547442914187667,-0.1263403277856631,5.382889072418381,2.530023266709349,-1.6763422543849829,1.4037300047838177,1.3419828099678197,-1.875214578415912,4.220442352662258,4.316480433611351,-0.40925404545408506,-1.766641069309358,1.4462390503145872,-0.9999627312008678,-5.479853681754326,YRI,AFR
HG00614,-28.79033601817939,-37.94024667019787,2.4691134216548316,-13.596982905092835,6.521215286377841,0.039574879363174824,4.838262379089551,-4.859535870203524,5.8893651484531695,-0.07042288365423344,-7.683227705711068,0.35718624622309286,-7.426038537329863,-2.7271327666295018,-3.074793277537918,5.105399060829878,-1.1770439238340273,1.0853542574986017,2.39744793390025,2.6313989120664836,CHS,EAS
HG01955,-26.678281128387905,-5.033585964005213,27.613858419692093,24.176929433154246,-1.7592104871351464,-1.4192280541218307,-6.392943702168758,0.11527136080551853,3.962387549638232,2.054210761667411,2.032654907427234,-2.9079030021690957,2.750733269695258,5.63592525771467,-1.4071811342559224,-5.9286223081875695,-5.886938855939739,2.5990470142522333,-0.6992019026809936,-4.984947018838428,PEL,AMR
